Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014523042016662657,0.026747416995931417,0.026747416995931417,0.454813375021331,space,0.3966525419964455,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4548747080261819,0.4867808329872787,0.4867808329872787,0.9801447920035571,space,0.4843495420063846,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,2.1508913750294596,"[(3.0, 2.1508913750294596)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.035401750006713,,,,,,,,,,,,,,,,0.9998469580314122,1.035401750006713,3.15086545801023,3.0,2.1508913750294596,"[(3.0, 2.1508913750294596)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.11659937497461215,"[(3.0, 0.11659937497461215)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3.1602343330159783,,,,,,,,,,,,,,,,3.153102583019063,3.1602343330159783,3.2748212500009686,3.0,0.11659937497461215,"[(3.0, 0.11659937497461215)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.11651525000343099,"[(3.0, 0.11651525000343099)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,3.2846242919913493,,,,,,,,,,,,,,,,3.2766009169863537,3.2846242919913493,3.4002047079848126,3.0,0.11651525000343099,"[(3.0, 0.11651525000343099)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12404845794662833,"[(3.0, 0.12404845794662833)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,3.409997000009753,,,,,,,,,,,,,,,,3.402552707993891,3.409997000009753,3.5342960000270978,3.0,0.12404845794662833,"[(3.0, 0.12404845794662833)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12385583395371214,"[(3.0, 0.12385583395371214)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3.5435700000380166,,,,,,,,,,,,,,,,3.536309542017989,3.5435700000380166,3.666817917022854,3.0,0.12385583395371214,"[(3.0, 0.12385583395371214)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.14064833300653845,"[(3.0, 0.14064833300653845)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.675343916984275,,,,,,,,,,,,,,,,3.6682758750393987,3.675343916984275,3.8177594169974327,3.0,0.14064833300653845,"[(3.0, 0.14064833300653845)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12660766596673056,"[(3.0, 0.12660766596673056)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.8271619580336846,,,,,,,,,,,,,,,,3.81975829199655,3.8271619580336846,3.954783542023506,3.0,0.12660766596673056,"[(3.0, 0.12660766596673056)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.1462306659668684,"[(3.0, 0.1462306659668684)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,3.9676405420177616,,,,,,,,,,,,,,,,3.9569669580087066,3.9676405420177616,4.119606667023618,3.0,0.1462306659668684,"[(3.0, 0.1462306659668684)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.10824862495064735,"[(3.0, 0.10824862495064735)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,4.132993458013516,,,,,,,,,,,,,,,,4.122688417031895,4.132993458013516,4.2386827080044895,3.0,0.10824862495064735,"[(3.0, 0.10824862495064735)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.15445562498643994,"[(3.0, 0.15445562498643994)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,4.251274916983675,,,,,,,,,,,,,,,,4.240807417023461,4.251274916983675,4.402055292041041,3.0,0.15445562498643994,"[(3.0, 0.15445562498643994)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.12231716699898243,"[(3.0, 0.12231716699898243)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,4.41204349999316,,,,,,,,,,,,,,,,4.404532167012803,4.41204349999316,4.534256207989529,3.0,0.12231716699898243,"[(3.0, 0.12231716699898243)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.15956304199062288,"[(3.0, 0.15956304199062288)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,4.54484833299648,,,,,,,,,,,,,,,,4.5373589170048945,4.54484833299648,4.717973624996375,3.0,0.15956304199062288,"[(3.0, 0.15956304199062288)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.15069270797539502,"[(3.0, 0.15069270797539502)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,4.734503375017084,,,,,,,,,,,,,,,,4.7208005000138655,4.734503375017084,4.877511500031687,3.0,0.15069270797539502,"[(3.0, 0.15069270797539502)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h11.34.571,4_calibr_sum,,2025.1.1,120.12745468958761,2025-12-30 18h11.39.737320 +0400,
