Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,text_6.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027833250002004206,0.03511895803967491,0.03511895803967491,1.2088443330139853,space,1.1428716670488939,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2089081660378724,1.2321944160503335,1.2321944160503335,1.5816742910537869,space,0.3329738749889657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,0.8924303750391118,"[(3.0, 0.8924303750391118)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.6331862910301425,,,,,,,,,,,,,,,,1.602241208020132,1.6331862910301425,2.4931373750441708,3.0,0.8924303750391118,"[(3.0, 0.8924303750391118)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.12437295797280967,"[(3.0, 0.12437295797280967)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.5027634580037557,,,,,,,,,,,,,,,,2.4955307909986004,2.5027634580037557,2.6261421250528656,3.0,0.12437295797280967,"[(3.0, 0.12437295797280967)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.10005254199495539,"[(3.0, 0.10005254199495539)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.6352254160447046,,,,,,,,,,,,,,,,2.627936833014246,2.6352254160447046,2.733730875013862,3.0,0.10005254199495539,"[(3.0, 0.10005254199495539)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12544820801122114,"[(3.0, 0.12544820801122114)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.7440048750140704,,,,,,,,,,,,,,,,2.7361985410097986,2.7440048750140704,2.866825791017618,3.0,0.12544820801122114,"[(3.0, 0.12544820801122114)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.10918308299733326,"[(3.0, 0.10918308299733326)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.876862916047685,,,,,,,,,,,,,,,,2.8690222080331296,2.876862916047685,2.9837200000183657,3.0,0.10918308299733326,"[(3.0, 0.10918308299733326)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11641874996712431,"[(3.0, 0.11641874996712431)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2.9932750000152737,,,,,,,,,,,,,,,,2.9851905000396073,2.9932750000152737,3.110424625047017,3.0,0.11641874996712431,"[(3.0, 0.11641874996712431)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.10704862501006573,"[(3.0, 0.10704862501006573)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.11974191601621,,,,,,,,,,,,,,,,3.1124610410188325,3.11974191601621,3.226429458009079,3.0,0.10704862501006573,"[(3.0, 0.10704862501006573)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.10712595796212554,"[(3.0, 0.10712595796212554)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,3.2349305410170928,,,,,,,,,,,,,,,,3.2278778750333004,3.2349305410170928,3.3434799580136314,3.0,0.10712595796212554,"[(3.0, 0.10712595796212554)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.11560999997891486,"[(3.0, 0.11560999997891486)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,3.352538541017566,,,,,,,,,,,,,,,,3.345275458006654,3.352538541017566,3.4664371250546537,3.0,0.11560999997891486,"[(3.0, 0.11560999997891486)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.12703291600337252,"[(3.0, 0.12703291600337252)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,3.4757682500057854,,,,,,,,,,,,,,,,3.468082083039917,3.4757682500057854,3.6009677910478786,3.0,0.12703291600337252,"[(3.0, 0.12703291600337252)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h12.59.688,4_calibr_sum,,2025.1.1,None,2025-12-30 18h13.05.073305 +0400,
