Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,get_textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03265241702320054,0.040785124991089106,0.040785124991089106,1.0008981249993667,space,0.9269916249904782,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0012897499836981,1.0092661670059897,1.0092661670059897,1.340111625031568,space,0.32558491599047557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,4.0,0.9936957079917192,"[(4.0, 0.9936957079917192)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.389465417014435,,,,,,,,,,,,,,,,1.3578164170030504,1.389465417014435,2.367021374986507,4.0,0.9936957079917192,"[(4.0, 0.9936957079917192)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.27786162501433864,"[(3.0, 0.27786162501433864)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.3846740419976413,,,,,,,,,,,,,,,,2.3696027499972843,2.3846740419976413,2.655357791983988,3.0,0.27786162501433864,"[(3.0, 0.27786162501433864)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,2.0,0.246277583995834,"[(2.0, 0.246277583995834)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.668535874981899,,,,,,,,,,,,,,,,2.6577789169969037,2.668535874981899,2.918820874998346,2.0,0.246277583995834,"[(2.0, 0.246277583995834)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,2.0,0.16919512499589473,"[(2.0, 0.16919512499589473)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.935402500035707,,,,,,,,,,,,,,,,2.9234776670346037,2.935402500035707,3.1023345420253463,2.0,0.16919512499589473,"[(2.0, 0.16919512499589473)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,2.0,0.1482332499581389,"[(2.0, 0.1482332499581389)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3.1143430420197546,,,,,,,,,,,,,,,,3.105130875017494,3.1143430420197546,3.258765582984779,2.0,0.1482332499581389,"[(2.0, 0.1482332499581389)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,2.0,0.1287269169697538,"[(2.0, 0.1287269169697538)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.283858417009469,,,,,,,,,,,,,,,,3.2604439579881728,3.283858417009469,3.4015582079882734,2.0,0.1287269169697538,"[(2.0, 0.1287269169697538)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,2.0,0.1165172919863835,"[(2.0, 0.1165172919863835)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.412756667006761,,,,,,,,,,,,,,,,3.4043650000239722,3.412756667006761,3.5260027080075815,2.0,0.1165172919863835,"[(2.0, 0.1165172919863835)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,2.0,0.1252411250025034,"[(2.0, 0.1252411250025034)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,3.5500415000133216,,,,,,,,,,,,,,,,3.527456499985419,3.5500415000133216,3.6598402080126107,2.0,0.1252411250025034,"[(2.0, 0.1252411250025034)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h25.10.488,4_calibr_sum,,2025.1.1,120.94262728464554,2025-12-30 18h33.52.503229 +0400,
