Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,thanks.started,text_th.started,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018880790972616524,0.02589458297006786,0.02589458297006786,1.2210691659711301,space,1.159668792039156,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2211346660042182,1.240893165988382,1.240893165988382,1.5966100409859791,space,0.34772308298852295,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,2.0,1.7009970000362955,"[(2.0, 1.7009970000362955)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.6534476659726351,,,,,,,,,,,,,,,,1.617909582972061,1.6534476659726351,3.31640625,2.0,1.7009970000362955,"[(2.0, 1.7009970000362955)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,4.0,0.8418547080364078,"[(4.0, 0.8418547080364078)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3.3265312910079956,,,,,,,,,,,,,,,,3.31873858300969,3.3265312910079956,4.1659526659641415,4.0,0.8418547080364078,"[(4.0, 0.8418547080364078)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,2.0,0.9996429999591783,"[(2.0, 0.9996429999591783)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,4.175822874996811,,,,,,,,,,,,,,,,4.167915083002299,4.175822874996811,5.175871665996965,2.0,0.9996429999591783,"[(2.0, 0.9996429999591783)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,2.0,0.1333021249738522,"[(2.0, 0.1333021249738522)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,5.185905999969691,,,,,,,,,,,,,,,,5.178341707971413,5.185905999969691,5.316653415968176,2.0,0.1333021249738522,"[(2.0, 0.1333021249738522)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.49920779204694554,"[(3.0, 0.49920779204694554)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,5.326736124989111,,,,,,,,,,,,,,,,5.318786124989856,5.326736124989111,5.82610945799388,3.0,0.49920779204694554,"[(3.0, 0.49920779204694554)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11538416595431045,"[(3.0, 0.11538416595431045)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,5.835222665977199,,,,,,,,,,,,,,,,5.827621250005905,5.835222665977199,5.948878458002582,3.0,0.11538416595431045,"[(3.0, 0.11538416595431045)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,4.0,0.4760130000067875,"[(4.0, 0.4760130000067875)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,5.958861040999182,,,,,,,,,,,,,,,,5.950933749962132,5.958861040999182,6.432261249981821,4.0,0.4760130000067875,"[(4.0, 0.4760130000067875)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,4.0,0.14334225002676249,"[(4.0, 0.14334225002676249)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,6.441434915992431,,,,,,,,,,,,,,,,6.43367529095849,6.441434915992431,6.58295679098228,4.0,0.14334225002676249,"[(4.0, 0.14334225002676249)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h37.01.284,4_calibr_sum,,2025.1.1,120.70704197794859,2025-12-30 18h37.10.039611 +0400,
