Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,key_resp_3.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020176208985503763,0.027094124990981072,0.027094124990981072,1.3612309589516371,space,1.3015124580124393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.361285583989229,1.3804071249905974,1.3804071249905974,1.7877547919633798,space,0.3981362920021638,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.7444735409808345,"[(3.0, 1.7444735409808345)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.8399095420027152,,,,,,,,,,,,,,,,1.8071951249730773,1.8399095420027152,3.549929542001337,3.0,1.7444735409808345,"[(3.0, 1.7444735409808345)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.12430212501203641,"[(3.0, 0.12430212501203641)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3.559391874994617,,,,,,,,,,,,,,,,3.5521969589754008,3.559391874994617,3.6845256249653175,3.0,0.12430212501203641,"[(3.0, 0.12430212501203641)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.10609145800117403,"[(3.0, 0.10609145800117403)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,3.6938848749850877,,,,,,,,,,,,,,,,3.686466124956496,3.6938848749850877,3.8004662499879487,3.0,0.10609145800117403,"[(3.0, 0.10609145800117403)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.11632525001186877,"[(3.0, 0.11632525001186877)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,3.8099732089904137,,,,,,,,,,,,,,,,3.8028444169904105,3.8099732089904137,3.9241229170002043,3.0,0.11632525001186877,"[(3.0, 0.11632525001186877)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12628270901041105,"[(3.0, 0.12628270901041105)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3.934056749974843,,,,,,,,,,,,,,,,3.9263130839681253,3.934056749974843,4.0578614169498906,3.0,0.12628270901041105,"[(3.0, 0.12628270901041105)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11694795801304281,"[(3.0, 0.11694795801304281)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,4.0671902089961804,,,,,,,,,,,,,,,,4.059340583975427,4.0671902089961804,4.1831873749615625,3.0,0.11694795801304281,"[(3.0, 0.11694795801304281)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12468087498564273,"[(3.0, 0.12468087498564273)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,4.192349374992773,,,,,,,,,,,,,,,,4.185254124982748,4.192349374992773,4.317613041959703,3.0,0.12468087498564273,"[(3.0, 0.12468087498564273)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.12292837502900511,"[(3.0, 0.12292837502900511)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,4.326035749982111,,,,,,,,,,,,,,,,4.319088624964934,4.326035749982111,4.450745833979454,3.0,0.12292837502900511,"[(3.0, 0.12292837502900511)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.14069529197877273,"[(3.0, 0.14069529197877273)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,4.459685666952282,,,,,,,,,,,,,,,,4.452453083998989,4.459685666952282,4.599967624992132,3.0,0.14069529197877273,"[(3.0, 0.14069529197877273)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.12354645796585828,"[(3.0, 0.12354645796585828)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,4.608918791986071,,,,,,,,,,,,,,,,4.601778958982322,4.608918791986071,4.733982459001709,3.0,0.12354645796585828,"[(3.0, 0.12354645796585828)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.14087891700910404,"[(3.0, 0.14087891700910404)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,4.7435815839562565,,,,,,,,,,,,,,,,4.73623249999946,4.7435815839562565,4.88329149998026,3.0,0.14087891700910404,"[(3.0, 0.14087891700910404)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.14086954202502966,"[(3.0, 0.14086954202502966)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,4.893951584002934,,,,,,,,,,,,,,,,4.886476916959509,4.893951584002934,5.03390258399304,3.0,0.14086954202502966,"[(3.0, 0.14086954202502966)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.12440124998101965,"[(3.0, 0.12440124998101965)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,5.042818249959964,,,,,,,,,,,,,,,,5.03570604196284,5.042818249959964,5.1666475419769995,3.0,0.12440124998101965,"[(3.0, 0.12440124998101965)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.166714916995261,6.241970583971124,space,1.0641511670546606,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.242089000006672,6.255973374994937,6.255973374994937,6.671787375002168,space,0.4063862499897368,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
,0,0,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,1.5279800000134856,None,,,,,,,,,,,,,0,0,0,5,,,,,,,,,6.695767249970231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6812851249706,6.695767249970231,6.695767249970231,6.695767249970231,8.213718583981972,right,0,1.5279800000134856,None,8.217103499977384,8.257120833965018,8.720358166960068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h39.08.098,4_calibr_sum,,2025.1.1,121.52637069995284,2025-12-30 18h39.19.982683 +0400,
