Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,resp.keys,resp.corr,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,resp.stopped,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,fb_task.started,fb_task.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017801792011596262,0.02894595800898969,0.02894595800898969,0.9286042080493644,space,0.8711815410060808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.928670208028052,0.9476841250434518,0.9476841250434518,1.508521500043571,space,0.5548917909618467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.8278671670123003,"[(3.0, 1.8278671670123003)]",,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,1.5569209170062095,,,,,,,,,,,,,,,,1.527685500041116,1.5569209170062095,3.3547776670311578,3.0,1.8278671670123003,"[(3.0, 1.8278671670123003)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.12405600002966821,"[(3.0, 0.12405600002966821)]",,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,3.364386250032112,,,,,,,,,,,,,,,,3.357188208028674,3.364386250032112,3.4889861670089886,3.0,0.12405600002966821,"[(3.0, 0.12405600002966821)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.1332255419692956,"[(3.0, 0.1332255419692956)]",,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,3.498024417029228,,,,,,,,,,,,,,,,3.4908265420235693,3.498024417029228,3.629581458051689,3.0,0.1332255419692956,"[(3.0, 0.1332255419692956)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.1416463339701295,"[(3.0, 0.1416463339701295)]",,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,3.639186875021551,,,,,,,,,,,,,,,,3.6319999170373194,3.639186875021551,3.7787004170240834,3.0,0.1416463339701295,"[(3.0, 0.1416463339701295)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.13317958399420604,"[(3.0, 0.13317958399420604)]",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,3.7885018750093877,,,,,,,,,,,,,,,,3.780885167012457,3.7885018750093877,3.922128333011642,3.0,0.13317958399420604,"[(3.0, 0.13317958399420604)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.15015966596547514,"[(3.0, 0.15015966596547514)]",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,3.9307293750462122,,,,,,,,,,,,,,,,3.9235783330514096,3.9307293750462122,4.079631625034381,3.0,0.15015966596547514,"[(3.0, 0.15015966596547514)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.1588452080031857,"[(3.0, 0.1588452080031857)]",,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,4.08949029201176,,,,,,,,,,,,,,,,4.081748750002589,4.08949029201176,4.246004500018898,3.0,0.1588452080031857,"[(3.0, 0.1588452080031857)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.14947504200972617,"[(3.0, 0.14947504200972617)]",,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,4.255327500053681,,,,,,,,,,,,,,,,4.247422625019681,4.255327500053681,4.405544125009328,3.0,0.14947504200972617,"[(3.0, 0.14947504200972617)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h41.34.543,4_calibr_sum,,2025.1.1,119.36895597561146,2025-12-30 18h41.49.158754 +0400,
