Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015622375009115785,0.030398292001336813,0.030398292001336813,1.2971335829934105,space,1.2360571660101414,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.297204333008267,1.3143569169915281,1.3143569169915281,1.6528488749754615,space,0.3357278750045225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.6783657079795375,"[(3.0, 1.6783657079795375)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.702416500018444,,,,,,,,,,,,,,,,1.6728410000214353,1.702416500018444,3.34915262501454,3.0,1.6783657079795375,"[(3.0, 1.6783657079795375)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.10096854198491201,"[(3.0, 0.10096854198491201)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,3.3585911249974743,,,,,,,,,,,,,,,,3.351630082994234,3.3585911249974743,3.4573232919792645,3.0,0.10096854198491201,"[(3.0, 0.10096854198491201)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.19914133299607784,"[(3.0, 0.19914133299607784)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,3.4667631670017727,,,,,,,,,,,,,,,,3.4591462920070626,3.4667631670017727,3.6665492500178516,3.0,0.19914133299607784,"[(3.0, 0.19914133299607784)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12365637498442084,"[(3.0, 0.12365637498442084)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,3.6763469169964083,,,,,,,,,,,,,,,,3.6690292499843054,3.6763469169964083,3.7999477079720236,3.0,0.12365637498442084,"[(3.0, 0.12365637498442084)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.11579399998299778,"[(3.0, 0.11579399998299778)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3.8092015419970267,,,,,,,,,,,,,,,,3.802021000010427,3.8092015419970267,3.92322866700124,3.0,0.11579399998299778,"[(3.0, 0.11579399998299778)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.1099172499962151,"[(3.0, 0.1099172499962151)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.9328397079952992,,,,,,,,,,,,,,,,3.924785208015237,3.9328397079952992,4.040565249975771,3.0,0.1099172499962151,"[(3.0, 0.1099172499962151)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12508887500735,"[(3.0, 0.12508887500735)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,4.050512332993094,,,,,,,,,,,,,,,,4.042656417004764,4.050512332993094,4.173047417018097,3.0,0.12508887500735,"[(3.0, 0.12508887500735)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.1266191669856198,"[(3.0, 0.1266191669856198)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,4.1822164580225945,,,,,,,,,,,,,,,,4.174408624996431,4.1822164580225945,4.307010707969312,3.0,0.1266191669856198,"[(3.0, 0.1266191669856198)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h44.09.571,4_calibr_sum,,2025.1.1,119.02931684397167,2025-12-30 18h44.13.895549 +0400,
