Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,textbox.stopped,Get_points.stopped,thanks.started,text_th.started,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023110417008865625,0.029709374997764826,0.029709374997764826,1.814211958029773,space,1.765016499964986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8142425420228392,1.8264506250270642,1.8264506250270642,2.240349583036732,space,0.4045576669741422,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.942215374961961,"[(3.0, 1.942215374961961)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2.2920883750193752,,,,,,,,,,,,,,,,2.259337083029095,2.2920883750193752,4.200316125003155,3.0,1.942215374961961,"[(3.0, 1.942215374961961)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.13425270898733288,"[(3.0, 0.13425270898733288)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,4.209789416985586,,,,,,,,,,,,,,,,4.202673625026364,4.209789416985586,4.341942000028212,3.0,0.13425270898733288,"[(3.0, 0.13425270898733288)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.12549137498717755,"[(3.0, 0.12549137498717755)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,4.3512902919901535,,,,,,,,,,,,,,,,4.34371170803206,4.3512902919901535,4.474680208018981,3.0,0.12549137498717755,"[(3.0, 0.12549137498717755)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.14181624999037012,"[(3.0, 0.14181624999037012)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,4.484994875034317,,,,,,,,,,,,,,,,4.4772635829867795,4.484994875034317,4.624028042017017,3.0,0.14181624999037012,"[(3.0, 0.14181624999037012)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.11717466596746817,"[(3.0, 0.11717466596746817)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,4.634036792034749,,,,,,,,,,,,,,,,4.626045625016559,4.634036792034749,4.750735583016649,3.0,0.11717466596746817,"[(3.0, 0.11717466596746817)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.1332007089513354,"[(3.0, 0.1332007089513354)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,4.759350207983516,,,,,,,,,,,,,,,,4.752267042000312,4.759350207983516,4.8912728750146925,3.0,0.1332007089513354,"[(3.0, 0.1332007089513354)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.13344199996208772,"[(3.0, 0.13344199996208772)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,4.900994833034929,,,,,,,,,,,,,,,,4.893251167028211,4.900994833034929,5.033542082994245,3.0,0.13344199996208772,"[(3.0, 0.13344199996208772)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.13396954198833555,"[(3.0, 0.13396954198833555)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,5.042132750037126,,,,,,,,,,,,,,,,5.034953291993588,5.042132750037126,5.175035167019814,3.0,0.13396954198833555,"[(3.0, 0.13396954198833555)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h49.28.266,4_calibr_sum,,2025.1.1,121.18794531592023,2025-12-30 18h49.33.102201 +0400,
