Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023462875047698617,0.03147795802215114,0.03147795802215114,0.9865884580067359,space,0.9245993749937043,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9866598750231788,1.00758366700029,1.00758366700029,1.2012528330087662,space,0.18155620800098404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,0.9330427499953657,"[(3.0, 0.9330427499953657)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.2544272080413066,,,,,,,,,,,,,,,,1.2237075419980101,1.2544272080413066,2.15550987503957,3.0,0.9330427499953657,"[(3.0, 0.9330427499953657)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.11773216596338898,"[(3.0, 0.11773216596338898)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.1802361250156537,,,,,,,,,,,,,,,,2.157981500029564,2.1802361250156537,2.282402750046458,3.0,0.11773216596338898,"[(3.0, 0.11773216596338898)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.11519204097567126,"[(3.0, 0.11519204097567126)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.2924857920152135,,,,,,,,,,,,,,,,2.284342083032243,2.2924857920152135,2.4054003750206903,3.0,0.11519204097567126,"[(3.0, 0.11519204097567126)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12620641698595136,"[(3.0, 0.12620641698595136)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.430158500035759,,,,,,,,,,,,,,,,2.408039333007764,2.430158500035759,2.5406879580114037,3.0,0.12620641698595136,"[(3.0, 0.12620641698595136)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.10817370802396908,"[(3.0, 0.10817370802396908)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.5524378750124015,,,,,,,,,,,,,,,,2.543566375039518,2.5524378750124015,2.658234625007026,3.0,0.10817370802396908,"[(3.0, 0.10817370802396908)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11649570800364017,"[(3.0, 0.11649570800364017)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2.669455208000727,,,,,,,,,,,,,,,,2.6601864580297843,2.669455208000727,2.7841024170047604,3.0,0.11649570800364017,"[(3.0, 0.11649570800364017)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12416041700635105,"[(3.0, 0.12416041700635105)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,2.796476832998451,,,,,,,,,,,,,,,,2.786856541992165,2.796476832998451,2.918677542009391,3.0,0.12416041700635105,"[(3.0, 0.12416041700635105)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.1068517499952577,"[(3.0, 0.1068517499952577)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,2.9317855419940315,,,,,,,,,,,,,,,,2.9204527499969117,2.9317855419940315,3.034179792040959,3.0,0.1068517499952577,"[(3.0, 0.1068517499952577)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h54.16.230,4_calibr_sum,,2025.1.1,121.63988807745127,2025-12-30 18h54.25.810679 +0400,
