Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011208417010493577,0.020197875041048974,0.020197875041048974,0.8425037499982864,space,0.7903929159510881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842567500018049,0.8642176249995828,0.8642176249995828,0.9384749170276336,space,0.07082504098070785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,0.6156146670109592,"[(3.0, 0.6156146670109592)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0.9824443330289796,,,,,,,,,,,,,,,,0.9548424580134451,0.9824443330289796,1.5709123330307193,3.0,0.6156146670109592,"[(3.0, 0.6156146670109592)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.12463920802110806,"[(3.0, 0.12463920802110806)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,1.6311046250048093,,,,,,,,,,,,,,,,1.6211978750070557,1.6311046250048093,1.703440458048135,3.0,0.12463920802110806,"[(3.0, 0.12463920802110806)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.08279587503056973,"[(3.0, 0.08279587503056973)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,1.7129118330194615,,,,,,,,,,,,,,,,1.7052108750212938,1.7129118330194615,1.795514292025473,3.0,0.08279587503056973,"[(3.0, 0.08279587503056973)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.18319237499963492,"[(3.0, 0.18319237499963492)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,1.805851833021734,,,,,,,,,,,,,,,,1.7981334580108523,1.805851833021734,1.986167250026483,3.0,0.18319237499963492,"[(3.0, 0.18319237499963492)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12693504098569974,"[(3.0, 0.12693504098569974)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,1.9963037500274368,,,,,,,,,,,,,,,,1.9884220420499332,1.9963037500274368,2.120694708020892,3.0,0.12693504098569974,"[(3.0, 0.12693504098569974)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11584749998291954,"[(3.0, 0.11584749998291954)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2.1301889170426875,,,,,,,,,,,,,,,,2.1223213330376893,2.1301889170426875,2.2463717920472845,3.0,0.11584749998291954,"[(3.0, 0.11584749998291954)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12395874998765066,"[(3.0, 0.12395874998765066)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,2.2572685420163907,,,,,,,,,,,,,,,,2.248844832996838,2.2572685420163907,2.379374750016723,3.0,0.12395874998765066,"[(3.0, 0.12395874998765066)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.13393987499875948,"[(3.0, 0.13393987499875948)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,2.388289624999743,,,,,,,,,,,,,,,,2.380859667027835,2.388289624999743,2.5207940420368686,3.0,0.13393987499875948,"[(3.0, 0.13393987499875948)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h56.49.811,4_calibr_sum,,2025.1.1,None,2025-12-30 18h56.56.500057 +0400,
