Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015941749967169017,0.02340741700027138,0.02340741700027138,0.476263459015172,space,0.4205052080214955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47632750001503155,0.49601179198361933,0.49601179198361933,0.85275650001131,space,0.345934999990277,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.8944315830012783,"[(3.0, 1.8944315830012783)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0.902111875009723,,,,,,,,,,,,,,,,0.8701524590142071,0.902111875009723,2.766707916976884,3.0,1.8944315830012783,"[(3.0, 1.8944315830012783)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.13344920804956928,"[(3.0, 0.13344920804956928)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.776038374984637,,,,,,,,,,,,,,,,2.768979542015586,2.776038374984637,2.907665917009581,3.0,0.13344920804956928,"[(3.0, 0.13344920804956928)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.12499558401759714,"[(3.0, 0.12499558401759714)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.9173911249963567,,,,,,,,,,,,,,,,2.90943216701271,2.9173911249963567,3.0403056669747457,3.0,0.12499558401759714,"[(3.0, 0.12499558401759714)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12524158402811736,"[(3.0, 0.12524158402811736)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,3.050591750012245,,,,,,,,,,,,,,,,3.04279375000624,3.050591750012245,3.1729962920071557,3.0,0.12524158402811736,"[(3.0, 0.12524158402811736)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12692383298417553,"[(3.0, 0.12692383298417553)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,3.183068500016816,,,,,,,,,,,,,,,,3.1752749999868684,3.183068500016816,3.307394874980673,3.0,0.12692383298417553,"[(3.0, 0.12692383298417553)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.11592349997954443,"[(3.0, 0.11592349997954443)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.316932625020854,,,,,,,,,,,,,,,,3.3088914999971166,3.316932625020854,3.4332111249677837,3.0,0.11592349997954443,"[(3.0, 0.11592349997954443)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.13341916596982628,"[(3.0, 0.13341916596982628)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.4426877920050174,,,,,,,,,,,,,,,,3.4353487089974806,3.4426877920050174,3.574097124976106,3.0,0.13341916596982628,"[(3.0, 0.13341916596982628)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.133196999959182,"[(3.0, 0.133196999959182)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,3.5835509169846773,,,,,,,,,,,,,,,,3.5755404999945313,3.5835509169846773,3.7159649590030313,3.0,0.133196999959182,"[(3.0, 0.133196999959182)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-30_18h58.06.116,4_calibr_sum,,2025.1.1,120.52742749268366,2025-12-30 18h58.10.951137 +0400,
