Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,text_fb_tren.stopped,fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,text_6.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015252000011969358,0.022917459020391107,0.022917459020391107,0.6169813750311732,space,0.5631032090168446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6170398340327665,0.6418092499952763,0.6418092499952763,1.12173191702459,space,0.4774517079931684,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.0221158749773167,"[(3.0, 1.0221158749773167)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,1.17728895903565,,,,,,,,,,,,,,,,1.1421505000325851,1.17728895903565,2.1781029170379043,3.0,1.0221158749773167,"[(3.0, 1.0221158749773167)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.1032080830191262,"[(3.0, 0.1032080830191262)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.194718417013064,,,,,,,,,,,,,,,,2.181505875021685,2.194718417013064,2.2962621669867076,3.0,0.1032080830191262,"[(3.0, 0.1032080830191262)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.13343383400933817,"[(3.0, 0.13343383400933817)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.307900541985873,,,,,,,,,,,,,,,,2.299148917023558,2.307900541985873,2.4402567500364967,3.0,0.13343383400933817,"[(3.0, 0.13343383400933817)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.12261145899537951,"[(3.0, 0.12261145899537951)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.4537559170275927,,,,,,,,,,,,,,,,2.443941750039812,2.4537559170275927,2.5726514169946313,3.0,0.12261145899537951,"[(3.0, 0.12261145899537951)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.12190558400470763,"[(3.0, 0.12190558400470763)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.5846925000078045,,,,,,,,,,,,,,,,2.57540600001812,2.5846925000078045,2.7025938340229914,3.0,0.12190558400470763,"[(3.0, 0.12190558400470763)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.12620616698404774,"[(3.0, 0.12620616698404774)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2.7278067499864846,,,,,,,,,,,,,,,,2.704401750001125,2.7278067499864846,2.838820917007979,3.0,0.12620616698404774,"[(3.0, 0.12620616698404774)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12445879098959267,"[(3.0, 0.12445879098959267)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,2.8514253339963034,,,,,,,,,,,,,,,,2.841605417022947,2.8514253339963034,2.972096999990754,3.0,0.12445879098959267,"[(3.0, 0.12445879098959267)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.11342479201266542,"[(3.0, 0.11342479201266542)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,2.9819777500233613,,,,,,,,,,,,,,,,2.973839209007565,2.9819777500233613,3.0937331670429558,3.0,0.11342479201266542,"[(3.0, 0.11342479201266542)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-02-02_20h58.59.113,4_calibr_sum,,2025.1.1,None,2026-02-02 20h59.12.557721 +0400,
