Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,text_fb_tren.stopped,fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,text_5.stopped,key_resp_2.stopped,fin_sum.stopped,key_resp_2.keys,Get_points.started,text_6.started,textbox.started,Get_points.stopped,textbox.text,send_experiment_to_osf.started,send_experiment_to_osf.stopped,data_saved_debug.started,result_data_saved_debug.started,result_data_saved_debug.stopped,data_saved_debug.stopped,thanks.started,text_th.started,text_th.stopped,gebug.started,gebug.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009902916999635636,0.0170166669995524,0.0170166669995524,1.7937949169991043,space,1.7436275000000023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7938477499992587,1.8169350829994073,1.8169350829994073,2.374036667000837,space,0.5523459169999114,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,6.239623166999081,"[(3.0, 6.239623166999081)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,2.428615999999238,,,,,,,,,,,,,,,,2.3940664999990986,2.428615999999238,8.636822708000182,3.0,6.239623166999081,"[(3.0, 6.239623166999081)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.7219893330002378,"[(3.0, 0.7219893330002378)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,8.649705583000468,,,,,,,,,,,,,,,,8.639727707999555,8.649705583000468,9.367750041999898,3.0,0.7219893330002378,"[(3.0, 0.7219893330002378)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,1.0085672089990112,"[(3.0, 1.0085672089990112)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,9.377381416999924,,,,,,,,,,,,,,,,9.369498000000021,9.377381416999924,10.384554832999129,3.0,1.0085672089990112,"[(3.0, 1.0085672089990112)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.6583325840001635,"[(3.0, 0.6583325840001635)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,10.394991499999378,,,,,,,,,,,,,,,,10.387124667000535,10.394991499999378,11.051208541999586,3.0,0.6583325840001635,"[(3.0, 0.6583325840001635)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.35774579200005974,"[(3.0, 0.35774579200005974)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,11.060939208000491,,,,,,,,,,,,,,,,11.053279333000319,11.060939208000491,11.417618875000699,3.0,0.35774579200005974,"[(3.0, 0.35774579200005974)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.15018025000063062,"[(3.0, 0.15018025000063062)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,11.426826749999236,,,,,,,,,,,,,,,,11.419102166999437,11.426826749999236,11.575614332999976,3.0,0.15018025000063062,"[(3.0, 0.15018025000063062)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.15058479199979047,"[(3.0, 0.15058479199979047)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,11.585993667000366,,,,,,,,,,,,,,,,11.577629457999137,11.585993667000366,11.734363125000527,3.0,0.15058479199979047,"[(3.0, 0.15058479199979047)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.1333829169998353,"[(3.0, 0.1333829169998353)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,11.74360012500074,,,,,,,,,,,,,,,,11.735742999999275,11.74360012500074,11.875447541999165,3.0,0.1333829169998353,"[(3.0, 0.1333829169998353)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.13334937499894295,"[(3.0, 0.13334937499894295)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,11.885158417000639,,,,,,,,,,,,,,,,11.877137707999282,11.885158417000639,12.017859749999843,3.0,0.13334937499894295,"[(3.0, 0.13334937499894295)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.1332159169996885,"[(3.0, 0.1332159169996885)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,12.02748504199917,,,,,,,,,,,,,,,,12.01961087500058,12.02748504199917,12.15896708299988,3.0,0.1332159169996885,"[(3.0, 0.1332159169996885)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.14242133399966406,"[(3.0, 0.14242133399966406)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,12.168985874999635,,,,,,,,,,,,,,,,12.161083917000724,12.168985874999635,12.309252667000692,3.0,0.14242133399966406,"[(3.0, 0.14242133399966406)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.1442349170010857,"[(3.0, 0.1442349170010857)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,12.33499241699974,,,,,,,,,,,,,,,,12.311856500000431,12.33499241699974,12.463772749999407,3.0,0.1442349170010857,"[(3.0, 0.1442349170010857)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.13143412499994156,"[(3.0, 0.13143412499994156)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,12.47600941699966,,,,,,,,,,,,,,,,12.466118791999179,12.47600941699966,12.605071083000439,3.0,0.13143412499994156,"[(3.0, 0.13143412499994156)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.605137208000087,13.763370250000662,space,1.1536251669986086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.763430749999316,13.775175500000842,13.775175500000842,14.121658624999327,space,0.34038383400002203,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,0,0,0,,,,0.16,0.15,left,0.17,0.7,-0.3,-0.22,0.3,0.18,6,47,1.0,right,0,1.8771553750011662,None,,,,,,,,,,,,,0,0,0,1,,,,,,,,,14.147410416999264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.132565624999188,14.147410416999264,14.147410416999264,14.147410416999264,16.015866042000198,right,0,1.8771553750011662,None,16.01950075000059,16.02926770799968,16.523332291999395,16.513312917000803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,1,1,0,,,,0.22,0.23,right,0.15,0.5,-0.2,0.15,0.2,-0.18,45,3,1.5,right,1,2.3696753330004867,None,,,,,,,,,,,,,0,1,1,4,,,,,,,,,16.523332291999395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.51404137499958,16.523332291999395,16.523332291999395,16.523332291999395,16.523837917000492,right,1,2.3696753330004867,None,16.526147750000746,16.536462083000515,,17.036399167000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,2,2,0,,,,0.22,0.21,left,0.17,0.8,-0.18,-0.22,0.18,0.18,45,5,1.0,right,0,0.05138033299954259,None,,,,,,,,,,,,,0,2,2,0,,,,,,,,,17.053819167000256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03743866699915,17.053819167000256,17.053819167000256,17.053819167000256,17.10667220799951,right,0,0.05138033299954259,None,17.10903508299998,17.117785874999754,17.613139041999602,17.603765083000326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,3,3,0,,,,0.17,0.16,left,0.3,0.18,-0.3,-0.2,0.3,0.2,5,45,1.0,right,0,0.5077556249998452,None,,,,,,,,,,,,,0,3,3,2,,,,,,,,,17.613139041999602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.604494167000666,17.613139041999602,17.613139041999602,17.613139041999602,17.61388179200003,right,0,0.5077556249998452,None,17.61395066700061,17.620073583000703,18.114418499999374,18.104169250000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,4,4,0,,,,0.21,0.22,right,0.54,0.22,-0.2,0.21,0.2,0.18,37,7,1.5,right,1,0.05400737499985553,None,,,,,,,,,,,,,0,4,4,3,,,,,,,,,18.114418499999374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.105252332999953,18.114418499999374,18.114418499999374,18.114418499999374,18.17083774999992,right,1,0.05400737499985553,None,18.1730289169991,18.18156991700016,,18.67242400000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,5,5,0,,,,0.24,0.25,right,0.13,0.85,-0.3,-0.2,0.3,0.2,0,45,1.5,right,1,0.5444302089999837,None,,,,,,,,,,,,,0,5,5,6,,,,,,,,,18.68688716699944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.673027124999862,18.68688716699944,18.68688716699944,18.68688716699944,18.673677749999115,right,1,0.5444302089999837,None,18.67373858300016,18.68688716699944,19.180114332999437,19.170163667000452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,6,6,0,,,,0.28,0.27,left,0.13,0.85,-0.18,-0.22,0.18,0.18,5,45,1.5,right,0,0.4667098750014702,None,,,,,,,,,,,,,0,6,6,5,,,,,,,,,19.180114332999437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.170885707999332,19.180114332999437,19.180114332999437,19.180114332999437,19.18069325000033,right,0,0.4667098750014702,None,19.1824013330006,19.189591624999593,19.68678112499947,19.678088917000423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.678207875000226,20.60811166699932,space,0.9103922499998589,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f,,,2026-04-08_00h56.48.314,4_calibr_sum,,2025.1.1,120.50588369917692,2026-04-08 00h56.59.735471 +0400,
