Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,resp.stopped,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,Get_points.started,gp_key_resp.started,Get_points.stopped,gp_key_resp.keys,gp_key_resp.rt,gp_key_resp.duration,get_textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027740082994569093,0.03654533298686147,0.03654533298686147,0.48373908299254254,space,0.4105833329958841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.48382179194595665,0.493023874994833,0.493023874994833,0.5995839169481769,space,0.1032197920139879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.705493875022512,"[(3.0, 1.705493875022512)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0.652416207944043,,,,,,,,,,,,,,,,0.6166128749609925,0.652416207944043,2.322805999952834,3.0,1.705493875022512,"[(3.0, 1.705493875022512)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.11767629202222452,"[(3.0, 0.11767629202222452)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,2.331903207988944,,,,,,,,,,,,,,,,2.32511762494687,2.331903207988944,2.4483399999444373,3.0,0.11767629202222452,"[(3.0, 0.11767629202222452)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.12534687499282882,"[(3.0, 0.12534687499282882)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,2.4576557079562917,,,,,,,,,,,,,,,,2.4499314579879865,2.4576557079562917,2.581071874999907,3.0,0.12534687499282882,"[(3.0, 0.12534687499282882)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.11562429100740701,"[(3.0, 0.11562429100740701)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,2.591120917000808,,,,,,,,,,,,,,,,2.5834953749435954,2.591120917000808,2.7070370829897,3.0,0.11562429100740701,"[(3.0, 0.11562429100740701)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.11669004202121869,"[(3.0, 0.11669004202121869)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.716351749957539,,,,,,,,,,,,,,,,2.709056041960139,2.716351749957539,2.831169582961593,3.0,0.11669004202121869,"[(3.0, 0.11669004202121869)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.2750676249852404,"[(3.0, 0.2750676249852404)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,2.8405779999447986,,,,,,,,,,,,,,,,2.8325993749895133,2.8405779999447986,3.1137547499965876,3.0,0.2750676249852404,"[(3.0, 0.2750676249852404)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12689591699745506,"[(3.0, 0.12689591699745506)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.1235141669749282,,,,,,,,,,,,,,,,3.115792957949452,3.1235141669749282,3.248128999955952,3.0,0.12689591699745506,"[(3.0, 0.12689591699745506)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.13208141701761633,"[(3.0, 0.13208141701761633)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,3.2571328329504468,,,,,,,,,,,,,,,,3.2494582919753157,3.2571328329504468,3.3901642919518054,3.0,0.13208141701761633,"[(3.0, 0.13208141701761633)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,2025-12-30_17h39.22.720,4_calibr_sum,,2025.1.1,None,2025-12-30 17h39.35.683915 +0400,
