Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020087417011382058,0.030232832999899983,0.030232832999899983,1.1725060419994406,space,1.1082264159922488,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1725914999842644,1.191628500004299,1.191628500004299,1.33098808300565,space,0.1318223330017645,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,0.6631870830024127,"[(3.0, 0.6631870830024127)]",,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,1.3845261250098702,,,,,,,,,,,,,,,,1.348441250011092,1.3845261250098702,2.0128752919845283,3.0,0.6631870830024127,"[(3.0, 0.6631870830024127)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.1243615829735063,"[(3.0, 0.1243615829735063)]",,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,2.0674126250087284,,,,,,,,,,,,,,,,2.0588166670058854,2.0674126250087284,2.145517500001006,3.0,0.1243615829735063,"[(3.0, 0.1243615829735063)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.11643408300005831,"[(3.0, 0.11643408300005831)]",,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,2.1548659169930033,,,,,,,,,,,,,,,,2.147321208001813,2.1548659169930033,2.269433957990259,3.0,0.11643408300005831,"[(3.0, 0.11643408300005831)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.11698879199684598,"[(3.0, 0.11698879199684598)]",,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,2.279708499991102,,,,,,,,,,,,,,,,2.271888916991884,2.279708499991102,2.3951522079878487,3.0,0.11698879199684598,"[(3.0, 0.11698879199684598)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.11848525001551025,"[(3.0, 0.11848525001551025)]",,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,2.4045300830039196,,,,,,,,,,,,,,,,2.3971780829888303,2.4045300830039196,2.521966958011035,3.0,0.11848525001551025,"[(3.0, 0.11848525001551025)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.12048391700955108,"[(3.0, 0.12048391700955108)]",,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,2.532128916995134,,,,,,,,,,,,,,,,2.5237372079864144,2.532128916995134,2.652464124985272,3.0,0.12048391700955108,"[(3.0, 0.12048391700955108)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.12271587501163594,"[(3.0, 0.12271587501163594)]",,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,2.6819660830078647,,,,,,,,,,,,,,,,2.655309166992083,2.6819660830078647,2.785283083008835,3.0,0.12271587501163594,"[(3.0, 0.12271587501163594)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.11246049997862428,"[(3.0, 0.11246049997862428)]",,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,2.7978604579984676,,,,,,,,,,,,,,,,2.7871888329973444,2.7978604579984676,2.9084555419976823,3.0,0.11246049997862428,"[(3.0, 0.11246049997862428)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,а,ж,27,2025-12-30_14h07.01.607,4_calibr_sum,,2025.1.1,116.96048972544176,2025-12-30 14h07.10.073306 +0400,
