Text,thisN,thisTrialN,thisRepN,BJW_slider.response,BJW_slider.rt,BJW_slider.history,w1,w2,corr_answ,op1,op2,xPos1,yPos1,xPos2,yPos2,or1,or2,time,resp_tren.keys,resp_tren.corr,resp_tren.rt,resp_tren.duration,resp.keys,resp.corr,resp.rt,resp.duration,q_sl,sl_h.response,sl_h.rt,sl_h.history,BJW_trials.thisRepN,BJW_trials.thisTrialN,BJW_trials.thisN,BJW_trials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,loop_L.thisRepN,loop_L.thisTrialN,loop_L.thisN,loop_L.thisIndex,l_slid.thisRepN,l_slid.thisTrialN,l_slid.thisN,l_slid.thisIndex,thisRow.t,notes,Main_instr.started,main_instr_text.started,main_instr_key.started,Main_instr.stopped,main_instr_key.keys,main_instr_key.rt,main_instr_key.duration,instr_BJW.started,BJW_inst_text.started,BJW_key_resp.started,instr_BJW.stopped,BJW_key_resp.keys,BJW_key_resp.rt,BJW_key_resp.duration,BJW.started,BJW_text.started,BJW.stopped,BJW_trials.BJW_slider.response,BJW_trials.BJW_slider.rt,BJW_trials.BJW_slider.history,instr.started,instr.stopped,resp_instr.keys,resp_instr.rt,resp_instr.duration,instr_2.started,text_3.started,key_resp.started,instr_2.stopped,key_resp.keys,key_resp.rt,key_resp.duration,tren.started,pol_1.started,pol_2.started,text_tren.started,tren.stopped,trials.resp_tren.keys,trials.resp_tren.corr,trials.resp_tren.rt,trials.resp_tren.duration,fb_tren.started,text_fb_tren.started,fb_tren.stopped,text_fb_tren.stopped,instr3.started,instr3.stopped,reesp_instr.keys,reesp_instr.rt,reesp_instr.duration,task_L.started,resp.started,task_L.stopped,loop_L.resp.keys,loop_L.resp.corr,loop_L.resp.rt,loop_L.resp.duration,fb_task.started,fb_task.stopped,corr_sum,mean_rt,sd_rt,slider.started,sl_h.started,text_sl.started,slider.stopped,l_slid.sl_h.response,l_slid.sl_h.rt,l_slid.sl_h.history,fin_sum.started,text_5.started,key_resp_2.started,fin_sum.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Get_points.started,text_6.started,textbox.started,Get_points.stopped,textbox.text,thanks.started,text_th.started,text_th.stopped,thanks.stopped,send_experiment_to_osf.started,text_7.started,text_7.stopped,send_experiment_to_osf.stopped,name,gender,ag,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012711957999272272,0.022384583000530256,0.022384583000530256,4.074555582999892,space,4.021462874999997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.074606750000385,4.089366208001593,4.089366208001593,4.542969458001608,space,0.44807870799922966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я считаю, что, по большому счету, заслуживаю того, что происходит со мной.",0,0,0,3.0,1.9739494160021422,"[(3.0, 1.9739494160021422)]",,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,4.580598166001437,,,,,,,,,,,,,,,,4.560599415999604,4.580598166001437,6.534796791002009,3.0,1.9739494160021422,"[(3.0, 1.9739494160021422)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Как правило, жизнь ко мне справедлива.",1,1,0,3.0,0.8830120829989028,"[(3.0, 0.8830120829989028)]",,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,6.54307825000069,,,,,,,,,,,,,,,,6.537502833001781,6.54307825000069,7.425016707999021,3.0,0.8830120829989028,"[(3.0, 0.8830120829989028)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я верю, что обычно получаю то, что заслуживаю.",2,2,0,3.0,0.31681762500011246,"[(3.0, 0.31681762500011246)]",,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,7.433290958000725,,,,,,,,,,,,,,,,7.426785374998872,7.433290958000725,7.7515754160012875,3.0,0.31681762500011246,"[(3.0, 0.31681762500011246)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
В моей жизни в общем и целом всё происходит справедливо.,3,3,0,3.0,0.4236117920008837,"[(3.0, 0.4236117920008837)]",,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,7.7597244159987895,,,,,,,,,,,,,,,,7.75422958299896,7.7597244159987895,8.184384374999354,3.0,0.4236117920008837,"[(3.0, 0.4236117920008837)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"В моей жизни несправедливость – скорее исключение, чем правило.",4,4,0,3.0,0.38387149999834946,"[(3.0, 0.38387149999834946)]",,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,8.192170458001783,,,,,,,,,,,,,,,,8.1866497910014,8.192170458001783,8.575472708002053,3.0,0.38387149999834946,"[(3.0, 0.38387149999834946)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я считаю, что в целом в моей жизни всё справедливо.",5,5,0,3.0,0.39941458300017985,"[(3.0, 0.39941458300017985)]",,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,8.583540750001703,,,,,,,,,,,,,,,,8.577097541001422,8.583540750001703,8.984781540999393,3.0,0.39941458300017985,"[(3.0, 0.39941458300017985)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я думаю, что важные решения, которые касаются меня, обычно справедливы.",6,6,0,3.0,0.37336104099813383,"[(3.0, 0.37336104099813383)]",,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,8.992669999999634,,,,,,,,,,,,,,,,8.98708783300026,8.992669999999634,9.3683116659995,3.0,0.37336104099813383,"[(3.0, 0.37336104099813383)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я считаю, что в целом мир справедлив.",7,7,0,3.0,0.29038095899886684,"[(3.0, 0.29038095899886684)]",,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,9.376011166001263,,,,,,,,,,,,,,,,9.369783833000838,9.376011166001263,9.668446415998915,3.0,0.29038095899886684,"[(3.0, 0.29038095899886684)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я считаю, что, по большому счету, люди получают то, что заслуживают.",8,8,0,3.0,0.31670491700060666,"[(3.0, 0.31670491700060666)]",,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,9.676438624999719,,,,,,,,,,,,,,,,9.670183416001237,9.676438624999719,9.992243208002037,3.0,0.31670491700060666,"[(3.0, 0.31670491700060666)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я уверен, что справедливость всегда побеждает несправедливость.",9,9,0,3.0,0.30884929099920555,"[(3.0, 0.30884929099920555)]",,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,10.000273083001957,,,,,,,,,,,,,,,,9.993902000001981,10.000273083001957,10.30830912500096,3.0,0.30884929099920555,"[(3.0, 0.30884929099920555)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я убежден, что, если человек пережил несправедливость, в будущем это возместится.",10,10,0,3.0,0.3672267080000893,"[(3.0, 0.3672267080000893)]",,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,10.317073791000439,,,,,,,,,,,,,,,,10.310608915999182,10.317073791000439,10.684653583000909,3.0,0.3672267080000893,"[(3.0, 0.3672267080000893)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я твердо уверен, что несправедливость в самых разных жизненных ситуациях (в семье, учебе и т. д.) – скорее исключение, чем правило.",11,11,0,3.0,0.4067277499998454,"[(3.0, 0.4067277499998454)]",,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,10.693441750001512,,,,,,,,,,,,,,,,10.687862250000762,10.693441750001512,11.101470290999714,3.0,0.4067277499998454,"[(3.0, 0.4067277499998454)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
"Я думаю, что все, кто принимает важные решения, стремятся быть справедливыми.",12,12,0,3.0,0.3576006250004866,"[(3.0, 0.3576006250004866)]",,,,,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,11.109492540999781,,,,,,,,,,,,,,,,11.103425666002295,11.109492540999781,11.467896458001633,3.0,0.3576006250004866,"[(3.0, 0.3576006250004866)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,у,у,у,2026-04-08_19h37.02.487,4_calibr_sum,,2025.1.1,None,2026-04-08 19h37.10.711578 +0400,
